City,Year,Shell,Volume,Mileage,Transmission,Rudder,Color,Gear,CustomsCleared,Type Engine,Price,Company,Model
Уральск,2014,внедорожник,1.7,31000,механика,слева,серебристый,полный привод,Да,бензин,2900000,Chevrolet,Niva
Нур-Султан (Астана),2014,седан,3.5,59800,автомат,слева,черный металлик,передний привод,Да,бензин,8600000,Kia,Cadenza
Тараз,1995,фургон,2.3,450650,механика,слева,белый,задний привод,Да,дизель,1100000,Volkswagen,LT
Алматы,2018,седан,2.5,48000,типтроник,слева,белый,передний привод,Да,бензин,11300000,Toyota,Camry
Караганда,1997,внедорожник,3.5,153000,автомат,справа,белый,полный привод,Нет,бензин,3350000,Mitsubishi,Pajero
Актобе,2007,внедорожник,5.4,170000,автомат,слева,черный,полный привод,Да,газ-бензин,8500000,Lincoln,Navigator
Нур-Султан (Астана),1995,седан,2.3,1111,автомат,слева,серебристый металлик,задний привод,Да,газ-бензин,2000000,Mercedes-Benz, 1995
Атырау,2007,седан,3.5,140000,автомат,слева,серый,передний привод,Да,бензин,5450000,Toyota,Camry
Петропавловск,2011,кроссовер,3.5,161000,автомат,слева,черный металлик,полный привод,Нет,бензин,8200000,Toyota,Highlander
Шымкент,2014,седан,1.6,115000,автомат,слева,коричневый,передний привод,Да,бензин,5500000,Hyundai,Elantra
Атырау,2013,хэтчбек,1.6,119000,механика,слева,белый металлик,передний привод,Нет,бензин,2500000,Hyundai,Accent
Актау,2007,пикап,4.0,230000,автомат,слева,,полный привод,Да,газ-бензин,10500000,Toyota,Tacoma
Нур-Султан (Астана),1996,седан,1.6,222222,механика,слева,серебристый металлик,передний привод,Да,бензин,1300000,Opel,Vectra
Нур-Султан (Астана),1991,седан,1.8,245678,механика,слева,синий металлик,передний привод,Да,бензин,800000,Volkswagen,Golf
Шымкент,1993,седан,2.0,400000,механика,слева,белый,задний привод,Да,бензин,1400000,Mercedes-Benz,E 200
Уральск,2018,седан,2.5,58000,автомат,слева,черный металлик,передний привод,Да,бензин,11250000,Toyota,Camry
Алматы,2009,седан,1.5,253000,механика,слева,серебристый,передний привод,Да,бензин,2300000,Hyundai,Accent
Нур-Султан (Астана),1993,универсал,2.0,300000,механика,слева,вишня металлик,передний привод,Да,бензин,1250000,Volkswagen,Passat
Алматы,2011,седан,1.8,121920,автомат,слева,черный металлик,передний привод,Да,бензин,5500000,Toyota,Corolla
Усть-Каменогорск,2008,хэтчбек,1.6,187240,механика,слева,зеленый металлик,,Нет,бензин,1050000,ВАЗ (Lada),2172 (хэтчбек)
Атырау,2003,внедорожник,4.7,185074,автомат,слева,серебристый,полный привод,Нет,газ-бензин,5900000,Toyota,Sequoia
Нур-Султан (Астана),2011,хэтчбек,1.6,260000,механика,слева,серебристый,передний привод,Нет,бензин,1000000,ВАЗ (Lada),2113 (хэтчбек)
Шымкент,1993,седан,2.5,195000,механика,слева,синий,задний привод,Да,бензин,2100000,BMW,525
Нур-Султан (Астана),1995,седан,1.6,24000,механика,слева,зеленый металлик,передний привод,Да,бензин,1000000,Toyota,Corolla
Тараз,1997,купе,4.3,1234984,автомат,слева,синий металлик,задний привод,Да,бензин,1300000,Ford,Mustang
Нур-Султан (Астана),2018,универсал,2.5,23000,вариатор,слева,серый металлик,полный привод,Да,бензин,15500000,Subaru,Outback
Текели,2015,хэтчбек,1.6,190,механика,слева,золотистый,передний привод,Да,бензин,3650000,Renault,Sandero Stepway
Актобе,2012,кроссовер,3.5,158000,типтроник,слева,коричневый металлик,полный привод,Нет,бензин,6000000,BMW,X5
Алматы,1996,универсал,2.2,200000,автомат,справа,синий металлик,передний привод,Да,бензин,2250000,Toyota,Scepter
Алматы,2013,пикап,2.7,120000,механика,слева,серебристый,полный привод,Да,бензин,11500000,Toyota,Hilux
Нур-Султан (Астана),2008,пикап,2.5,250000,механика,слева,синий,задний привод,Да,газ-бензин,3800000,ГАЗГАЗель,
Алматы,2000,седан,2.5,246000,типтроник,слева,серебристый металлик,задний привод,Да,бензин,4300000,BMW,525
Алматы,2014,седан,2.0,156000,автомат,слева,черный металлик,задний привод,Да,дизель,10000000,BMW,520
Алматы,2011,внедорожник,4.6,173000,автомат,слева,белый металлик,полный привод,Да,бензин,14500000,Lexus,GX 460
Нур-Султан (Астана),2007,седан,3.5,68000,автомат,справа,белый,задний привод,Нет,бензин,3150000,Toyota,Crown
Алматы,2007,универсал,2.5,195202,автомат,слева,бежевый металлик,полный привод,Да,бензин,4190000,Subaru,Outback
Нур-Султан (Астана),2006,кроссовер,3.2,205000,автомат,слева,белый металлик,полный привод,Да,бензин,6200000,Volkswagen,Touareg
Шиели,1993,седан,2.8,319500,механика,слева,голубой металлик,задний привод,Да,бензин,2300000,Mercedes-Benz,E 280
Караганда,2013,кроссовер,1.2,150000,автомат,слева,черный металлик,передний привод,Да,бензин,4900000,Skoda,Yeti
Атырау,2010,минивэн,2.4,120000,автомат,справа,черный металлик,,Нет,бензин,4100000,Honda,Odyssey
Актобе,2012,хэтчбек,1.6,75000,механика,слева,серый металлик,передний привод,Нет,бензин,1300000,ВАЗ (Lada),2114 (хэтчбек)
Нур-Султан (Астана),2004,хэтчбек,1.6,189,механика,слева,бежевый металлик,передний привод,Нет,бензин,800000,ВАЗ (Lada),2114 (хэтчбек)
Алматы,2014,седан,1.6,52000,автомат,слева,белый,передний привод,Да,бензин,5400000,Kia,Rio
Нур-Султан (Астана),2020,седан,2.5,12000,автомат,слева,коричневый металлик,передний привод,Да,бензин,13200000,Toyota,Camry
Алматы,2013,кроссовер,1.6,131855,вариатор,слева,серый металлик,передний привод,Да,бензин,5250000,Nissan,Qashqai
Алматы,2003,седан,1.6,142180,автомат,слева,белый,передний привод,Да,бензин,2490000,Hyundai,Accent
Алматы,2015,седан,1.6,79574,автомат,слева,синий,передний привод,Да,бензин,4890000,Kia,Rio
Алматы,2013,кроссовер,1.6,219385,вариатор,слева,белый,передний привод,Да,бензин,5690000,Nissan,Qashqai
Атырау,2017,седан,1.6,125000,автомат,слева,черный,,Да,бензин,7050000,Toyota,Corolla
Алматы,2014,седан,1.6,67000,типтроник,слева,белый металлик,передний привод,Да,бензин,5150000,Kia,Rio
Бауыржана Момышулы,1991,седан,2.0,111111,механика,слева,черный,задний привод,Да,бензин,1300000,Mercedes-Benz,E 200
Алматы,2015,седан,1.6,80000,автомат,слева,серебристый металлик,передний привод,Да,бензин,5300000,Hyundai,Accent
Алматы,2001,внедорожник,4.7,259998,типтроник,слева,белый металлик,полный привод,Да,бензин,5800000,Lexus,LX 470
Шымкент,2001,универсал,2.2,280000,автомат,слева,фиолетовый металлик,передний привод,Да,бензин,2100000,Opel,Vectra
Актобе,1998,внедорожник,3.0,290000,автомат,справа,серебристый,полный привод,Нет,дизель,4000000,Toyota,Hilux Surf
Алматы,1993,внедорожник,4.3,320000,автомат,слева,белый,полный привод,Да,бензин,4500000,Mitsubishi,Pajero
Риддер,2014,универсал,2.5,112000,автомат,слева,фиолетовый металлик,полный привод,Да,бензин,8500000,Subaru,Outback
Уральск,2008,седан,2.4,255000,автомат,слева,белый,передний привод,Нет,бензин,3700000,Toyota,Camry
Алматы,2018,кроссовер,1.6,40000,автомат,слева,белый,передний привод,Да,гибрид,8600000,Kia,Niro
Алматы,2014,седан,2.5,77000,автомат,слева,серебристый металлик,передний привод,Да,газ-бензин,9700000,Toyota,Camry
Шымкент,2011,седан,2.5,159000,вариатор,слева,сиреневый,передний привод,Нет,бензин,3600000,Nissan,Teana
Нур-Султан (Астана),2013,седан,2.5,177027,автомат,слева,белый металлик,передний привод,Да,бензин,7500000,Toyota,Camry
Алматы,2016,седан,1.6,82000,автомат,слева,белый металлик,передний привод,Да,бензин,7800000,Toyota,Corolla
Алматы,2015,седан,1.6,150639,механика,слева,коричневый,передний привод,Да,бензин,3599990,Ford,Focus
Петропавловск,2019,седан,1.6,33000,механика,слева,белый,передний привод,Да,бензин,3350000,ВАЗ (Lada),2190 (седан)
Тараз,1997,седан,1.6,281000,механика,слева,черный,передний привод,Да,бензин,1650000,Volkswagen,Passat
Алматы,1993,внедорожник,2.4,80000,автомат,слева,белый,полный привод,Да,дизель,4500000,Mercedes-Benz,G 240
Нур-Султан (Астана),2015,кроссовер,2.4,180000,автомат,слева,белый металлик,передний привод,Да,бензин,4600000,Geely,Emgrand X7
Алматы,2014,универсал,1.6,79255,механика,слева,белый,передний привод,Да,бензин,2420000,ВАЗ (Lada),2171 (универсал)
Нур-Султан (Астана),2001,минивэн,2.0,333000,автомат,слева,черный,передний привод,Да,бензин,2700000,Volkswagen,Sharan
Актау,1999,кроссовер,3.0,260000,автомат,слева,серебристый металлик,полный привод,Да,газ-бензин,3950000,Lexus,RX 300
Алматы,2013,пикап,3.0,70000,автомат,слева,белый металлик,задний привод,Да,бензин,7000000,ГАЗГАЗель,
Усть-Каменогорск,2017,универсал,2.5,38000,вариатор,слева,белый,полный привод,Да,бензин,13000000,Subaru,Outback
Актау,2001,кроссовер,2.0,223000,автомат,слева,серебристый,полный привод,Да,бензин,3000000,Mitsubishi,Pajero IO
Алматы,2015,седан,1.6,51000,механика,слева,черный металлик,передний привод,Да,бензин,2500000,Datsun,on-DO
Костанай,2006,внедорожник,6.0,171661,автомат,слева,черный металлик,полный привод,Да,бензин,9000000,Hummer,H2
Кызылорда,2007,седан,2.0,135500,типтроник,слева,золотистый металлик,передний привод,Да,бензин,2800000,Mazda,3
Павлодар,1996,седан,3.2,292500,автомат,слева,синий металлик,задний привод,Да,бензин,2700000,Mercedes-Benz,E 320
Семей,2013,кроссовер,1.8,166630,автомат,слева,красный,полный привод,Да,бензин,4500000,Chevrolet,Tracker
Уральск,2005,седан,1.5,50000,механика,слева,серый,передний привод,Нет,бензин,930000,ВАЗ (Lada),2115 (седан)
Алматы,1992,седан,2.3,420000,автомат,слева,черный металлик,задний привод,Да,бензин,1650000,Mercedes-Benz,E 230
Уральск,2002,седан,1.6,245000,механика,слева,серебристый,передний привод,Нет,бензин,1550000,Nissan,Primera
Нур-Султан (Астана),2019,внедорожник,5.7,14000,автомат,слева,,полный привод,Да,бензин,44600000,Lexus,LX 570
Нур-Султан (Астана),1998,универсал,1.4,570000,механика,слева,синий металлик,передний привод,Да,бензин,1400000,Honda,Civic
Уральск,2009,седан,1.6,165000,механика,слева,серебристый металлик,передний привод,Нет,бензин,1200000,ВАЗ (Lada),2170 (седан)
Алматы,2012,кроссовер,1.6,117000,вариатор,слева,,,Да,бензин,5700000,Nissan,Qashqai
Алматы,2014,универсал,1.6,200000,механика,слева,белый,передний привод,Да,бензин,3200000,ВАЗ (Lada),Largus
Петропавловск,2017,седан,2.5,155000,автомат,слева,черный металлик,передний привод,Да,бензин,11200000,Toyota,Camry
Алматы,2015,седан,5.5,60000,автомат,слева,серый,полный привод,Да,бензин,23000000,Mercedes-Benz, 2015
Нур-Султан (Астана),2009,минивэн,2.0,130000,вариатор,справа,,передний привод,Нет,бензин,3600000,Nissan,Serena
Усть-Каменогорск,2001,седан,1.6,337000,механика,слева,черный,передний привод,Нет,бензин,1300000,Volkswagen,Bora
Нур-Султан (Астана),2016,внедорожник,5.7,68000,автомат,слева,,полный привод,Да,бензин,34600000,Lexus,LX 570
Семей,2006,минивэн,2.4,120000,автомат,справа,белый металлик,полный привод,Нет,бензин,3499999,Toyota,Alphard
Костанай,2013,седан,1.6,55000,автомат,слева,серебристый металлик,передний привод,Да,бензин,4180000,Hyundai,Accent
Тараз,1996,универсал,2.0,37631,автомат,справа,черный,полный привод,Да,бензин,1600000,Subaru,Legacy
Караганда,2011,кроссовер,4.4,110000,автомат,слева,белый,полный привод,Да,бензин,10500000,BMW,X5
Караганда,1990,седан,2.6,191000,механика,слева,черный,задний привод,Да,бензин,1400000,Mercedes-Benz,E 260
Алматы,1995,минивэн,2.8,265000,автомат,справа,зеленый,полный привод,Да,дизель,2700000,Mitsubishi,Delica
Алматы,1997,купе,2.0,170000,механика,слева,красный металлик,передний привод,Да,бензин,2350000,Mitsubishi,Eclipse
Актау,2001,седан,1.5,127000,механика,слева,коричневый,передний привод,Да,газ-бензин,1000000,Daewoo,Nexia
